iteration,loss,delay,jitter,md5_hash,ttc
0,1,20,0,cc83be85db391e9396e1427b3e124968,50.54807758331299
1,1,20,0,cc83be85db391e9396e1427b3e124968,50.40054655075073
2,1,20,0,cc83be85db391e9396e1427b3e124968,50.33611178398132
3,1,20,0,cc83be85db391e9396e1427b3e124968,50.38992619514465
4,1,20,0,cc83be85db391e9396e1427b3e124968,50.432169675827026
0,2,20,0,cc83be85db391e9396e1427b3e124968,51.212446451187134
1,2,20,0,cc83be85db391e9396e1427b3e124968,51.51576042175293
2,2,20,0,cc83be85db391e9396e1427b3e124968,51.351423501968384
3,2,20,0,cc83be85db391e9396e1427b3e124968,51.46699833869934
4,2,20,0,cc83be85db391e9396e1427b3e124968,51.53201508522034
0,3,20,0,cc83be85db391e9396e1427b3e124968,52.982287645339966
1,3,20,0,cc83be85db391e9396e1427b3e124968,52.6731059551239
2,3,20,0,cc83be85db391e9396e1427b3e124968,52.80728030204773
3,3,20,0,cc83be85db391e9396e1427b3e124968,54.131152629852295
4,3,20,0,cc83be85db391e9396e1427b3e124968,52.539950132369995
0,4,20,0,cc83be85db391e9396e1427b3e124968,53.84552073478699
1,4,20,0,cc83be85db391e9396e1427b3e124968,53.96996021270752
2,4,20,0,cc83be85db391e9396e1427b3e124968,53.7473304271698
3,4,20,0,cc83be85db391e9396e1427b3e124968,53.37922191619873
4,4,20,0,cc83be85db391e9396e1427b3e124968,53.98378014564514
0,5,20,0,cc83be85db391e9396e1427b3e124968,54.67790198326111
1,5,20,0,cc83be85db391e9396e1427b3e124968,55.601393938064575
2,5,20,0,cc83be85db391e9396e1427b3e124968,55.75036430358887
3,5,20,0,cc83be85db391e9396e1427b3e124968,54.81429362297058
4,5,20,0,cc83be85db391e9396e1427b3e124968,57.090733766555786
