bw,loss,delay_c2_ms,udp_off_mean,iter,md5_hash_1,md5_hash_2,ttc1,ttc2,size1_bytes,size2_bytes,thr1_mbps,thr2_mbps,link_util,jfi
100,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,6.746734,6.833610,32317690,32317690,38.320987,37.833811,0.761548,0.999959
100,0,10,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,7.243364,7.865089,32317690,32317690,35.693570,32.872038,0.685656,0.998309
100,0,15,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,7.418513,8.584084,32317690,32317690,34.850857,30.118710,0.649696,0.994723
100,0,20,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,6.758495,9.890963,32317690,32317690,38.254303,26.139166,0.643935,0.965813
100,0,25,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,6.504575,10.201829,32317690,32317690,39.747644,25.342664,0.650903,0.953310
