bw,loss,delay_c2_ms,udp_off_mean,iter,md5_hash_1,md5_hash_2,ttc1,ttc2,size1_bytes,size2_bytes,thr1_mbps,thr2_mbps,link_util,jfi
100,0.0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,7.137865,6.759212,32317690,32317690,36.221126,38.250248,0.744714,0.999258
100,0.5,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,70.938361,78.165412,32317690,32317690,3.644594,3.307621,0.069522,0.997656
100,1.0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,142.481647,137.533637,32317690,32317690,1.814560,1.879842,0.036944,0.999688
100,1.5,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,205.945509,198.423063,32317690,32317690,1.255388,1.302981,0.025584,0.999654
100,2.0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,252.689538,273.529522,32317690,32317690,1.023159,0.945205,0.019684,0.998434
