bw,loss,delay_c2_ms,udp_off_mean,iter,md5_hash_1,md5_hash_2,ttc1,ttc2,size1_bytes,size2_bytes,thr1_mbps,thr2_mbps,link_util,jfi
100,0,5,1.5,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,24.311704,21.457757,32317690,32317690,10.634447,12.048860,0.226833,0.996127
100,0,5,0.8,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,26.847258,26.547364,32317690,32317690,9.630090,9.738877,0.193690,0.999968
100,0,5,0.5,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,80.963851,103.971803,32317690,32317690,3.193296,2.486650,0.056799,0.984758
